"filename", "language", "C++", "Fortran", "C", "comment", "blank", "total"
"/Users/samuel/Documents/mormon/src/Faddeeva.cpp", "C++", 2048, 0, 0, 380, 89, 2517
"/Users/samuel/Documents/mormon/src/Faddeeva.h", "C++", 18, 0, 0, 31, 13, 62
"/Users/samuel/Documents/mormon/src/Spline.h", "C++", 13, 0, 0, 0, 3, 16
"/Users/samuel/Documents/mormon/src/aux_math.h", "C++", 52, 0, 0, 5, 14, 71
"/Users/samuel/Documents/mormon/src/comparators.h", "C++", 15, 0, 0, 0, 2, 17
"/Users/samuel/Documents/mormon/src/constants.h", "C++", 17, 0, 0, 0, 2, 19
"/Users/samuel/Documents/mormon/src/energy.h", "C++", 1014, 0, 0, 90, 372, 1476
"/Users/samuel/Documents/mormon/src/geometry.h", "C++", 321, 0, 0, 1, 87, 409
"/Users/samuel/Documents/mormon/src/io.cpp", "C++", 34, 0, 0, 1, 7, 42
"/Users/samuel/Documents/mormon/src/io.h", "C++", 33, 0, 0, 0, 10, 43
"/Users/samuel/Documents/mormon/src/main.cpp", "C++", 18, 0, 0, 4, 3, 25
"/Users/samuel/Documents/mormon/src/memory_tracker.h", "C++", 25, 0, 0, 0, 6, 31
"/Users/samuel/Documents/mormon/src/mormon.cpp", "C++", 307, 0, 0, 41, 63, 411
"/Users/samuel/Documents/mormon/src/move.h", "C++", 675, 0, 0, 47, 226, 948
"/Users/samuel/Documents/mormon/src/particle.h", "C++", 53, 0, 0, 26, 26, 105
"/Users/samuel/Documents/mormon/src/particles.h", "C++", 294, 0, 0, 58, 89, 441
"/Users/samuel/Documents/mormon/src/pch.h", "C++", 8, 0, 0, 0, 0, 8
"/Users/samuel/Documents/mormon/src/potentials.h", "C++", 1771, 0, 0, 324, 705, 2800
"/Users/samuel/Documents/mormon/src/ran2.f", "Fortran", 0, 34, 0, 0, 1, 35
"/Users/samuel/Documents/mormon/src/ran2_lib.cpp", "C++", 6, 0, 0, 0, 2, 8
"/Users/samuel/Documents/mormon/src/ran2_lib.h", "C++", 12, 0, 0, 0, 3, 15
"/Users/samuel/Documents/mormon/src/random.cpp", "C++", 77, 0, 0, 2, 18, 97
"/Users/samuel/Documents/mormon/src/random.h", "C++", 31, 0, 0, 0, 9, 40
"/Users/samuel/Documents/mormon/src/random_back.h", "C++", 105, 0, 0, 3, 27, 135
"/Users/samuel/Documents/mormon/src/sampler.cpp", "C++", 633, 0, 0, 113, 215, 961
"/Users/samuel/Documents/mormon/src/sampler.h", "C++", 239, 0, 0, 44, 123, 406
"/Users/samuel/Documents/mormon/src/state.h", "C++", 670, 0, 0, 65, 144, 879
"/Users/samuel/Documents/mormon/src/timer.h", "C++", 16, 0, 0, 3, 5, 24
"/Users/samuel/Documents/mormon/src/xdr/trr_seek.c", "C", 0, 0, 66, 20, 10, 96
"/Users/samuel/Documents/mormon/src/xdr/trr_seek.h", "C++", 14, 0, 0, 19, 8, 41
"/Users/samuel/Documents/mormon/src/xdr/xdrfile.c", "C", 0, 0, 2005, 304, 305, 2614
"/Users/samuel/Documents/mormon/src/xdr/xdrfile.h", "C++", 126, 0, 0, 415, 94, 635
"/Users/samuel/Documents/mormon/src/xdr/xdrfile_trr.c", "C", 0, 0, 344, 37, 36, 417
"/Users/samuel/Documents/mormon/src/xdr/xdrfile_trr.h", "C++", 40, 0, 0, 38, 13, 91
"/Users/samuel/Documents/mormon/src/xdr/xdrfile_xtc.c", "C", 0, 0, 76, 34, 21, 131
"/Users/samuel/Documents/mormon/src/xdr/xdrfile_xtc.h", "C++", 17, 0, 0, 35, 10, 62
"/Users/samuel/Documents/mormon/src/xdr/xtc_seek.c", "C", 0, 0, 85, 26, 9, 120
"/Users/samuel/Documents/mormon/src/xdr/xtc_seek.h", "C++", 15, 0, 0, 24, 8, 47
"Total", "-", 8717, 34, 2576, 2190, 2778, 16295